SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,IC50(microM)
Cc1nc(cc(=O)n1-c1cccc(Cl)c1Cl)N1CCC2(Cc3ccccc3[C@@H]2N)CC1,12.9925643838101,-0.1695126705538863,12.9925643838101,0.0680715812504852,0.6091728221748722,455.3890000000004,431.1970000000003,454.132716748,160,0,0.2597374537835668,-0.3563492326385879,0.3563492326385879,0.2597374537835668,1.096774193548387,1.8387096774193548,2.548387096774193,35.49826296438786,9.72902618544328,2.4545035165552216,-2.422822243438385,2.503913101870173,-2.4468528109772025,6.4269568827934265,0.187028053211233,1.3966025541147349,1214.441440362247,21.750347897697548,17.31485462081119,18.826712512848097,14.893484514091924,10.529799575906306,11.285728521924762,8.610826930085342,9.395991529835175,6.920662507263054,7.729589384608232,5.189295785152288,5.569350850335636,-2.339999999999999,14743198.54921325,20.55645286720723,7.660235034146191,3.3566190174948725,190.9705125092509,10.633577208012664,11.642267275834955,0.0,0.0,5.559266895052007,0.0,9.361636831863176,4.9839785209472085,0.0,0.0,53.53371512277308,54.86082965818264,25.197720709434723,15.732652902166215,0.0,29.01974255830006,0.0,9.551078168738565,11.148657946558965,32.22804289761662,17.98942254267563,85.88131473569328,0.0,5.687386274683562,16.19284410306467,5.817862777835028,0.0,23.20187978046503,22.640590980563715,6.4208216229260096,12.338727669087405,35.834791556393895,53.3254737317647,10.045266627482652,5.687386274683562,0.0,64.15,0.0,4.794537184071822,0.0,17.016098193596747,27.37492017800117,32.35197768060318,15.694002631185343,24.26546827384644,6.923737199690624,29.165378004696915,33.919525778574425,1.5066227980389686,12.47955339434336,19.920554256713995,0.7531375603887818,9.815773819146402,1.2849623756374298,15.418800041396231,2.985176590012726,3.4743080532109967,0.0,0.3333333333333333,31,2,5,1,1,2,2,1,3,5,1,7,2,0,1,1,5,4.690420000000004,125.54540000000004,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008
N[C@@H]1CCCC11CCN(CC1)c1cnc(Sc2cccc(NC(=O)c3c(O)nc4CCCCn4c3=O)c2Cl)c(N)n1,13.061567913081111,-0.781987476550934,13.061567913081111,0.2461744571270812,0.3400434913665566,597.1450000000002,563.8810000000002,596.208485596,216,0,0.2698540611404247,-0.4925174325044866,0.4925174325044866,0.2698540611404247,1.146341463414634,1.951219512195122,2.682926829268293,35.49569473234703,9.742009071852909,2.426575678989671,-2.42038610145658,2.45869037855697,-2.466931187793052,7.991391929265517,0.1016155625825808,1.1626612083233785,1556.0172851742848,28.725039392385717,22.60561739477996,24.178042921726146,19.753657859398057,13.990659710790844,15.185120764727795,11.081149399268844,12.489762754204431,8.717416554808755,10.304686946126612,6.315750402572523,7.414810597811625,-3.3500000000000005,2288622850.257626,27.801925003676427,11.1443819687065,5.238603373504302,246.2589825353385,26.790560684021884,16.668227254504195,11.381314269532025,5.879988336435371,11.466446624403511,0.0,14.156174015934996,9.967957041894415,4.9839785209472085,0.0,35.85001353101125,56.07265434387607,36.99241514532947,16.906863160037965,9.901064578912528,46.59311639932875,0.0,19.51903521063298,11.148657946558965,73.87461367265564,29.039878623844142,51.16023815955997,0.0,5.879988336435371,27.24330018423319,17.323111830353618,5.879988336435371,23.36282483962363,49.664095975798304,12.965578028838586,5.41499046939678,61.12814453425082,39.11192541525674,5.022633313741326,0.0,0.0,165.28000000000003,22.909886452535883,14.69560176298435,0.0,27.98471366480466,28.71142598102553,51.01148370429024,29.17062784303449,24.395944776997904,0.0,25.16863389769843,23.068274844556885,1.4471459653645105,7.886355272153917,42.10263753045396,13.749920170080443,12.310982643194912,0.1468408179542653,5.393535094294321,9.611321267268256,2.212372350346529,0.0,0.4642857142857143,41,6,11,1,2,3,1,2,3,11,4,13,5,1,1,2,6,3.812100000000001,158.77879999999976,0,0,0,1,0,4,0,1,0,0,1,1,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
N[C@@H]1c2ccccc2CC11CCN(CC1)c1nc(N)c(C2=C(Cl)C(Cl)=CCC2)c(n1)C(N)=O,12.34074390960047,-0.6761697971390881,12.34074390960047,0.0172020279909608,0.6065566020728606,485.41900000000027,459.2110000000002,484.154514812,172,0,0.2677287570234236,-0.3830025650718741,0.3830025650718741,0.2677287570234236,1.1515151515151516,1.878787878787879,2.575757575757576,35.49860917318162,9.729567035931868,2.457469713197139,-2.4191609362337885,2.506147684223897,-2.4471916338784685,6.458886695585014,0.0994802208776949,1.433170646512372,1199.4357636110135,23.32769816688717,18.15171791399466,19.663575806031567,15.804168116614887,11.112652657951983,11.86858160397044,9.082659227019889,9.86782382676972,7.287363611181528,8.159103049436728,5.462095171356474,5.951398897564389,-2.61,35956539.55139648,22.195530036601017,8.310181887190637,3.681408046811367,202.18784367909896,22.100912162337035,11.51179077268349,0.0,5.948339280986494,5.907179729351506,0.0,4.794537184071822,4.9839785209472085,4.9839785209472085,0.0,53.54336816114535,54.21910609749008,19.13135364097311,15.62802419592419,4.794537184071822,46.44836609870733,0.0,9.967957041894415,16.88232542372115,38.14594894377801,23.723090019837816,62.79034355484696,0.0,0.0,22.100912162337035,11.766202058821523,0.0,23.20187978046503,28.964649583071072,6.4208216229260096,5.41499046939678,58.90394697486328,40.40606108490751,0.0,5.573104530069267,0.0,124.15,5.907179729351506,4.794537184071822,0.0,22.96862207122823,39.99111125283197,32.351977680603184,11.126902983393991,0.0,12.142387175295491,33.066967978129725,40.40288221195159,0.0,12.628561803262484,23.478514504978538,0.7733416420214356,22.439747686982894,-0.095864450980116,8.441217172646125,5.868815628798945,1.4378882345119115,0.0,0.375,33,6,7,2,1,3,1,1,2,6,3,9,3,0,1,1,5,3.866800000000001,131.85970000000006,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
N[C@@H]1C[C@H](O)CC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,10.06349510660996,-0.2642103364105674,10.06349510660996,0.0586204580669313,0.6033746370885893,464.4220000000001,441.2380000000002,463.100036716,158,0,0.2108602898722309,-0.3930461208143487,0.3930461208143487,0.2108602898722309,1.1666666666666667,1.9666666666666663,2.7,35.49826471889956,9.741341242861196,2.4643137288714243,-2.4193787792740906,2.460084015892067,-2.470706328070292,7.992886495592103,0.1405651402694999,1.4039171625180766,1082.4440125872986,20.88010440969447,16.33903832380803,18.667392796772663,14.46596415916336,10.0929367581293,11.66536228507548,8.246880300215656,10.115821856452309,6.506746854376211,8.505719689078092,4.844784290727179,6.247911019212016,-1.5099999999999996,11197492.858143022,20.395882729643542,7.875964479640198,3.463910068065988,188.94237100371808,15.740104602853368,0.0,5.647177220767728,5.948339280986494,0.0,0.0,4.400694606261793,9.967957041894415,0.0,0.0,41.03013179831776,43.23101109802404,42.617367831330114,21.04471649074873,5.106527394840706,46.55928123161037,0.0,14.36865164815621,11.148657946558965,47.620060659635854,17.98942254267563,46.8348985477067,0.0,0.0,10.633577208012664,5.948339280986494,0.0,34.963764729856145,44.71049907171834,0.0,5.41499046939678,25.68328649170404,46.58059887125961,10.045266627482652,5.647177220767728,0.0,79.68,0.0,5.106527394840706,0.0,17.560797686293043,16.466088250408664,53.73846113339296,11.761884949391115,12.263210640074686,28.927115886411165,9.883888251797686,33.919525778574425,2.029962758251449,14.036082577703842,13.414220844046485,11.13058855085334,7.2772593888311325,0.8805628341871732,5.681518705473639,8.785298641959832,1.7367279209153308,0.0,0.4285714285714285,30,3,6,1,1,2,1,2,3,7,2,9,3,1,1,2,5,4.255900000000003,120.6682,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3cccc(Cl)c3Cl)c3nccn23)[C@@H]1N,6.464778832712636,0.0863982358447095,6.464778832712636,0.0863982358447095,0.6149706458695293,464.4220000000002,441.2380000000002,463.1000367160001,158,0,0.2108603120974346,-0.3762306350577144,0.3762306350577144,0.2108603120974346,1.2,2.0,2.7333333333333334,35.498264720836985,9.733729950169677,2.4735017404018924,-2.411496024042509,2.424178102578168,-2.506035493493047,7.992886505659677,0.0973068822951396,1.4042248476590058,1082.4440125872986,20.88010440969447,16.592966237585387,18.92132071055002,14.482800911568969,10.04505399450384,11.61747952145002,8.088643330273257,9.957584886509908,6.398534884080995,8.397507718782874,4.495643156035338,5.898769884520174,-1.51,11974623.441510972,20.395882729643542,7.875964479640196,3.367681685567449,189.2616824810289,15.370440161812713,0.0,5.647177220767728,5.948339280986494,0.0,0.0,4.400694606261793,9.967957041894415,0.0,0.0,41.03013179831776,31.898114582465865,48.03235830072688,27.65159845526165,4.736862953800049,46.55928123161037,0.0,14.36865164815621,11.148657946558965,41.70215461347445,24.596304507188545,46.8348985477067,0.0,0.0,10.633577208012664,5.948339280986494,0.0,34.963764729856145,46.21085364139054,4.736862953800049,5.41499046939678,19.765380445542643,46.58059887125961,10.045266627482652,5.647177220767728,0.0,68.67999999999999,0.0,0.0,0.0,17.560797686293043,10.045266627482652,53.92452147497987,11.761884949391115,12.263210640074686,28.927115886411165,16.80762545148831,38.65638873237448,7.898324254469534,14.06164123711802,13.494326110245238,1.0832409841271822,7.408447660436073,0.9022465076565608,5.722920874987072,7.770774121557823,4.63030047162472,0.0,0.4285714285714285,30,2,6,0,2,2,1,2,3,7,1,9,3,0,2,2,5,4.519900000000004,120.84140000000002,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015
N[C@@H]1c2cccnc2CC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,6.717880684564486,0.0470315395678222,6.717880684564486,0.0470315395678222,0.4074047338098683,497.4550000000001,475.27900000000017,496.10037106400006,168,0,0.21086029566439,-0.3418816552161031,0.3418816552161031,0.21086029566439,1.0,1.8484848484848484,2.6666666666666665,35.49826501278892,9.730627026086369,2.464076648170997,-2.419912389914167,2.50064065812694,-2.4471766530078365,7.99288994399631,0.185839018393194,1.2546317282980977,1348.0494966423305,22.578775022443743,17.786632081000732,20.11498655396537,16.0552805566404,10.939369010937256,12.511794537883436,8.740508090168179,10.609449646404832,6.991773210937278,8.99074604563916,5.165172707946575,6.568299436431412,-2.3199999999999994,72571540.07233703,21.229191618572663,8.165169014212637,3.4935284882661963,205.69499520973935,10.633577208012664,0.0,5.647177220767728,5.948339280986494,0.0,0.0,9.384673127209002,9.967957041894415,0.0,0.0,47.09649886677937,48.44000803525664,54.50813939779165,14.940750103000427,0.0,46.55928123161037,0.0,19.35263016910342,11.148657946558965,35.09527264896154,17.98942254267563,76.42185574278845,0.0,0.0,10.633577208012664,5.948339280986494,0.0,34.963764729856145,32.442142980928566,6.4208216229260096,5.41499046939678,30.14086356154544,64.9101765797959,10.045266627482652,5.647177220767728,0.0,72.34,0.0,0.0,0.0,11.45683129854474,10.045266627482652,59.43238912824143,17.325336441088112,6.06636706846161,42.986475491837126,25.3349284474683,33.919525778574425,2.0591872952884858,14.11866479119752,18.17412059478607,1.0814740083526513,10.03051463802246,0.9037949665462895,9.801521570036762,10.508143874718376,1.7948004832736073,0.0,0.2916666666666667,33,2,6,1,1,2,1,3,4,7,1,9,3,0,1,1,6,5.425000000000004,132.32139999999993,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0017
N[C@@H]1c2ccccc2CC11CCN(CC1)c1ncc(Sc2ccnc3ccsc23)c2nccn12,6.783329160251057,0.1252770882804044,6.783329160251057,0.1252770882804044,0.3730382758254331,484.65400000000005,460.4620000000002,484.1503867680001,170,0,0.2108602956076654,-0.3418816713884606,0.3418816713884606,0.2108602956076654,1.0,1.8823529411764703,2.764705882352941,32.16682184556854,9.729583348265814,2.4562871725314714,-2.4218299661633527,2.506080218031827,-2.447012091594723,7.995143059734103,0.1864987979412101,1.1611067014802827,1514.35951074329,22.70009536600338,18.593651963825398,20.226645125680843,16.71707659918887,11.623239411483626,13.319388803666246,9.29209777027207,11.291990804594178,7.536027732032013,9.670172888955186,5.695288825660718,7.634176243151564,-2.939999999999999,194463697.0451953,20.434714476808512,7.796804802294559,3.0893581555091654,205.41049055812272,10.633577208012664,0.0,5.647177220767728,5.948339280986494,0.0,0.0,9.384673127209002,9.967957041894415,0.0,11.336785877934735,36.027353223237554,53.31715522895793,48.81421140294319,15.112104109603138,0.0,44.91080796316544,0.0,19.35263016910342,11.148657946558965,35.09527264896154,17.98942254267563,77.69254245108188,0.0,0.0,10.633577208012664,5.948339280986494,0.0,23.09867082732585,32.442142980928566,6.4208216229260096,5.41499046939678,30.01038705839397,76.35660641872343,0.0,15.86379785485309,0.0,72.34,0.0,0.0,0.0,11.45683129854474,0.0,54.35967837549144,20.722306375380867,23.09867082732585,24.787374286452305,56.062848039295055,15.7016245190566,3.34048107133716,3.431095967227422,18.719008179986744,2.089341179529186,11.69243983611902,0.9646124391114472,12.96355520434184,10.976786851194786,1.9060126044857284,0.0,0.2692307692307692,34,2,6,1,1,2,1,4,5,8,1,8,3,0,1,1,7,5.332900000000005,137.6843999999999,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0017
CSc1ccccc1Sc1cnc(N2CCC3(Cc4ccccc4[C@H]3N)CC2)n2ccnc12,6.777184035534505,0.131808103053177,6.777184035534505,0.131808103053177,0.3981210384674442,473.6710000000002,446.45500000000027,473.1707878640001,168,0,0.2108602955991904,-0.3418816713884736,0.3418816713884736,0.2108602955991904,0.9696969696969696,1.7272727272727273,2.515151515151515,32.16971679105416,9.729583349304203,2.456214643335577,-2.421842886078815,2.505888027207368,-2.4470131410216323,8.017330425823964,0.1864987724999505,1.2503049909641113,1309.0435770062536,22.41563831562721,18.646438368325438,20.279431530180883,16.182601756578226,11.397313087388165,13.43855453970748,8.998903771737698,10.930755424315828,7.2973369881399215,9.306174361273566,5.468551254802868,7.22734239738696,-2.4799999999999995,84419672.34175795,21.080034696859016,8.382685756801864,3.535578379735152,202.3568669147914,10.633577208012664,0.0,5.647177220767728,5.948339280986494,0.0,0.0,4.400694606261793,9.967957041894415,0.0,11.761884949391115,48.16008736016077,54.19286164200342,47.51285130684789,4.895483475517775,0.0,35.11928640053645,0.0,14.36865164815621,11.148657946558965,39.99075612447932,24.245191726187038,78.2483702459261,0.0,0.0,10.633577208012664,5.948339280986494,0.0,23.52376989878223,33.713933643492766,6.4208216229260096,5.41499046939678,30.01038705839397,81.80791768908541,0.0,5.647177220767728,0.0,59.45,0.0,0.0,0.0,11.45683129854474,0.0,48.84297765787517,20.91786993442954,23.52376989878223,18.59053071483923,69.07128858926376,10.717645998109392,2.144201625094482,3.500910782042237,15.586371796474296,0.0,10.6851269160917,0.9758650111279082,17.334581022687516,11.265470186899712,1.9241393262488136,0.0,0.3076923076923077,33,2,5,1,1,2,2,2,4,7,1,7,4,0,1,1,6,5.445100000000005,136.28739999999996,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0018
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3ccnc4N5CC6(CC6)CC5COc34)nc2CO)[C@@H]1N,10.151422149762508,-0.1522539008844021,10.151422149762508,0.0480686851785632,0.636843757844828,510.6640000000005,476.39200000000034,510.241309948,192,0,0.1753428900460498,-0.486354425428507,0.486354425428507,0.1753428900460498,1.1944444444444444,2.0277777777777777,2.75,32.166590552086255,9.732928520118978,2.538084956865626,-2.4145743923687224,2.5742128650871385,-2.5052514491253066,7.989898097956103,0.0973326940891647,1.0900328121610894,1168.3636791306565,24.492988584816835,20.72765292177074,21.544149502698467,17.490662169068667,13.144872863737625,13.961369444665351,11.388715601691752,12.4509425987817,9.184101286674537,10.13132723029727,6.692536007463089,7.5509070038075,-2.14,348879885.92268825,23.01163533984601,8.441319699074215,3.67529454476846,215.32629371949116,30.113740241303944,17.32676993803062,17.38523738895396,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,11.761884949391115,50.50920285217907,37.28794408789554,36.45189819305295,14.580253302440804,23.39761050506117,0.0,14.951935562841626,16.563648415955743,73.74381877906484,42.64785260846451,24.153982206536224,0.0,5.749511833283905,20.27034989266319,11.635725555670057,5.749511833283905,11.761884949391115,71.09414415049011,11.343744918312968,10.82998093879356,44.72177330916913,28.38149766587478,0.0,0.0,0.0,109.86,0.0,5.106527394840706,0.0,24.16767965080596,23.75764125790612,66.38947527124365,31.024349818169146,0.0,18.46005421168776,16.72355666139158,30.159328947603907,12.108496826718598,1.5246052507831005,19.92709864251384,10.897281641835022,7.637573733801039,2.565820434665687,2.4906935994116437,9.565766332495436,6.1159968711089725,0.0,0.6538461538461539,36,3,9,1,4,5,0,2,2,10,2,10,4,1,3,4,7,2.599,136.49720000000005,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.002
N[C@@H]1c2ccccc2CC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,6.757880684564487,0.1095315395678224,6.757880684564487,0.1095315395678224,0.3754336551707361,496.467,473.2830000000002,495.10512209600006,168,0,0.2108602956089335,-0.3418816713884586,0.3418816713884586,0.2108602956089335,1.0,1.818181818181818,2.636363636363636,35.498265002748475,9.729583362183622,2.4562635726963413,-2.421836928635076,2.506261639728244,-2.44701271627766,7.992890228233656,0.1864988050826714,1.2546317282980977,1345.8923264451605,22.578775022443743,17.9167687546904,20.24512322765504,16.0552805566404,11.079571791368265,12.651997318314445,8.899998633837084,10.768940190073735,7.144427472162561,9.143400306864445,5.328267901738083,6.73139463022292,-2.249999999999999,72571540.07233703,21.29447650251846,8.20341006234232,3.513402313834121,206.47534722879288,10.633577208012664,0.0,5.647177220767728,5.948339280986494,0.0,0.0,4.400694606261793,9.967957041894415,0.0,0.0,65.29560007216419,47.93709245849202,42.617367831330114,14.940750103000427,0.0,46.55928123161037,0.0,14.36865164815621,11.148657946558965,35.09527264896154,17.98942254267563,82.22726980494714,0.0,0.0,10.633577208012664,5.948339280986494,0.0,34.963764729856145,27.45816445998136,6.4208216229260096,5.41499046939678,30.01038705839397,70.84606714510605,10.045266627482652,5.647177220767728,0.0,59.45,0.0,0.0,0.0,11.45683129854474,10.045266627482652,53.73846113339296,22.888787932785107,6.06636706846161,30.723264851762448,38.55005113190592,33.919525778574425,2.0715329743008315,14.133959930086409,13.641587776591468,1.0910204936134225,10.504125749133571,0.9194199665462894,14.403276712516313,8.856942580604759,1.8503560388291629,0.0,0.28,33,2,5,1,1,2,2,2,4,6,1,8,3,0,1,1,6,6.030000000000004,134.52639999999994,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021000000000000003
