SMILES,IC50(microM)
Cc1nc(cc(=O)n1-c1cccc(Cl)c1Cl)N1CCC2(Cc3ccccc3[C@@H]2N)CC1,0.0008
N[C@@H]1CCCC11CCN(CC1)c1cnc(Sc2cccc(NC(=O)c3c(O)nc4CCCCn4c3=O)c2Cl)c(N)n1,0.001
N[C@@H]1c2ccccc2CC11CCN(CC1)c1nc(N)c(C2=C(Cl)C(Cl)=CCC2)c(n1)C(N)=O,0.001
N[C@@H]1C[C@H](O)CC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,0.0012
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3cccc(Cl)c3Cl)c3nccn23)[C@@H]1N,0.0015
N[C@@H]1c2cccnc2CC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,0.0017
N[C@@H]1c2ccccc2CC11CCN(CC1)c1ncc(Sc2ccnc3ccsc23)c2nccn12,0.0017
CSc1ccccc1Sc1cnc(N2CCC3(Cc4ccccc4[C@H]3N)CC2)n2ccnc12,0.0018
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3ccnc4N5CC6(CC6)CC5COc34)nc2CO)[C@@H]1N,0.002
N[C@@H]1c2ccccc2CC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,0.0021000000000000003
N[C@@H]1c2ccccc2CC11CCN(CC1)c1ncc(Sc2ccnc3sccc23)c2nccn12,0.0022
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3ccnc4N5C[C@@H](COCC6CC6)C[C@H]5COc34)nc2CO)[C@@H]1N,0.0023
N[C@@H]1c2ccccc2CC11CCN(CC1)c1ncc(Sc2cccc3cnsc23)c2nccn12,0.0026
COC[C@H]1C[C@H]2COc3c(Sc4cnc(N5CCC6(Cc7ncccc7[C@H]6N)CC5)c(CO)n4)ccnc3N2C1,0.0027
N[C@@H]1CCCC11CCN(CC1)c1ncc(Sc2cccc(Cl)c2Cl)c2nccn12,0.0028
C[C@@H]1OCC2(CCN(CC2)c2nc(C)c(-c3cccc(Cl)c3Cl)c3nccn23)[C@@H]1N,0.0028
N[C@@H]1c2ccccc2CC11CCN(CC1)c1ncc(Sc2ccnc3ccccc23)c2nccn12,0.0028
C[C@@H]1OCC2(CCN(CC2)c2nc(C)n(-c3ccc(Oc4ccn(C)n4)c(Cl)c3Cl)c(=O)c2C)[C@@H]1N,0.003
C[C@@H]1OCC2(CCN(CC2)c2ncc(Sc3ccnc4N5C[C@H](C[C@H]5COc34)OCC3CC3)nc2CO)[C@@H]1N,0.003
N[C@@H]1c2ccncc2CC11CCN(CC1)c1cnc(Sc2ccnc(N)c2Cl)c(N)n1,0.003
N[C@H]1C[C@@H]2CC[C@H]([C@H]1F)N2c1nc2[nH]nc(-c3ccc4ncsc4c3Cl)c2nc1CO,0.003
N[C@@H]1C[C@@H](O)CC11CCN(CC1)c1cnc(Sc2ccnc(Cl)c2Cl)c(N)n1,0.003
N[C@@H]1CCCC11CCN(CC1)c1nc(Cl)c(-c2cccc(Cl)c2Cl)c2nccn12,0.0031
N[C@@H]1CCCC11CCN(CC1)c1ncc(Sc2ccnc(Cl)c2Cl)c2nccn12,0.0031
Cc1nc(N2CCC3(C[C@@H](O)C[C@H]3N)CC2)n2ccnc2c1-c1cccc(Cl)c1Cl,0.0031
COCOC[C@H]1C[C@H]2COc3c(Sc4cnc(N5CCC6(Cc7ncccc7[C@H]6N)CC5)c(CO)n4)ccnc3N2C1,0.0033
C[C@@H]1OCC2(CCN(CC2)c2nc(C)c(Sc3cccc(Cl)c3Cl)c3nccn23)[C@@H]1N,0.0033
CSc1c(Cl)cccc1Sc1cnc(N2CCC3(CO[C@@H](C)[C@H]3N)CC2)n2ccnc12,0.0033
Cc1nc(N2CCC3(C[C@H](O)C[C@H]3N)CC2)n2ccnc2c1-c1cccc(Cl)c1Cl,0.0033
COCOC[C@@H]1C[C@H]2COc3c(Sc4cnc(N5CCC6(CO[C@@H](C)[C@H]6N)CC5)c(CO)n4)ccnc3N2C1,0.0035
COC[C@H]1C[C@H]2COc3c(Sc4cnc(N5CCC6(CO[C@@H](C)[C@H]6N)CC5)c(CO)n4)ccnc3N2C1,0.0036
N[C@@H]1c2ccccc2CC11CCN(CC1)c1ncc(Sc2ccnc3cccnc23)c2nccn12,0.0036
COCOC[C@@H]1CC2COc3c(Sc4cnc(N5CCC6(CO[C@@H](C)[C@H]6N)CC5)c(CO)n4)ccnc3N2C1,0.0037
