molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL328907,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,inactive,100000.0
CHEMBL2092743,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)c1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,inactive,100000.0
CHEMBL438997,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(N)=O)C(C)C,inactive,1540.0
CHEMBL263010,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(N)=O)C(C)C,inactive,22000.0
CHEMBL420456,Nc1nc(N)c2nc(CN3CCN(Cc4ccc(-c5ccccc5)cc4)CC3)nnc2n1,inactive,5000.0
CHEMBL96952,Nc1nc(N)c2nc(CN3CCN(Cc4ccccc4)CC3)nnc2n1,inactive,9000.0
CHEMBL95255,CCN(CC)Cc1nnc2nc(N)nc(N)c2n1,inactive,14000.0
CHEMBL140954,O=P(O)(O)C(F)(F)c1ccc(COc2ccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)cc2)cc1,inactive,16000.0
CHEMBL344437,N.N.N.N.O=P(O)(O)C(F)(F)c1ccc(COCCOCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,inactive,152000.0
CHEMBL1161222,O=P(O)(O)C(F)(F)c1ccc(CCCCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,inactive,91000.0
CHEMBL140524,O=P(O)(O)C(F)(F)c1ccc(COc2cccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)c2)cc1,inactive,32000.0
CHEMBL337604,O=P(O)(O)C(F)(F)c1ccc(COc2ccccc2OCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,inactive,60000.0
CHEMBL3144403,NC(=O)C[C@H](NC(=O)C1(NC(=O)[C@@H](N)Cc2ccc(OP(=O)(O)O)c(N)c2)CCCCC1)C(N)=O,active,5.0
CHEMBL204337,CNC(=O)[C@@H]1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc1cccc(NS(=O)(=O)O)c1,inactive,500000.0
CHEMBL409618,CC[C@H](C)[C@H](NC(=O)N[C@H]1CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)CC)NC1=O)C(=O)O,inactive,100000.0
CHEMBL439324,CC[C@H](C)[C@H](NC(=O)N[C@H]1CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(=O)c2ccccc2NC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC1=O)C(=O)O,inactive,100000.0
CHEMBL377360,CC[C@H](C)[C@H](NC(=O)N[C@H]1CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC1=O)C(=O)O,inactive,100000.0
CHEMBL227622,Oc1ccc(-c2ccc(-c3nnn[nH]3)cc2Cl)cc1C12CC3CC(CC(C3)C1)C2,inactive,1300.0
CHEMBL376571,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)c(Cl)c2)S1,inactive,2200.0
CHEMBL260920,O=C(CCCn1cc(-c2c(-c3ccccc3)oc3cc(O)c(C(=O)O)cc23)nn1)Nc1cccc2ccccc12,inactive,36000.0
CHEMBL326115,NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)Cc1ccc(C(F)(F)P(=O)(O)O)cc1,inactive,10000.0
CHEMBL497510,O=C1Nc2ccc(C(=O)NCc3ccc(Cl)cc3)cc2/C1=N/Nc1cccc(C(=O)O)c1,inactive,22300.0
CHEMBL497509,O=C1Nc2ccc(C(=O)O)cc2/C1=N/Nc1cccc(C(=O)O)c1,inactive,15800.0
CHEMBL526644,O=C1Nc2ccc(C(=O)O)cc2/C1=N/Nc1ccccc1C(=O)O,active,800.0
CHEMBL498479,O=C1Nc2ccccc2/C1=N/Nc1ccccc1C(=O)O,inactive,60000.0
CHEMBL521563,O=C1Nc2ccccc2/C1=N/Nc1cccc([N+](=O)[O-])c1,inactive,60000.0
CHEMBL498650,O=C1Nc2ccccc2/C1=N/Nc1ccccc1[N+](=O)[O-],inactive,60000.0
CHEMBL498479,O=C1Nc2ccccc2/C1=N/Nc1ccccc1C(=O)O,inactive,60000.0
CHEMBL498475,O=C1Nc2ccccc2/C1=N/Nc1cccc(C(=O)O)c1,inactive,60000.0
CHEMBL498474,O=C1Nc2ccc(S(=O)(=O)NCc3ccc(Cl)c(C(F)(F)F)c3)cc2/C1=N/Nc1cccc(C(=O)O)c1,inactive,10600.0
CHEMBL498473,O=C1Nc2ccc(S(=O)(=O)NCc3ccc(Cl)c(C(F)(F)F)c3)cc2/C1=N/Nc1ccc(C(=O)O)cc1,inactive,8300.0
CHEMBL500677,O=C1Nc2ccc(S(=O)(=O)NCCc3ccc(Cl)cc3Cl)cc2/C1=N/Nc1cccc(C(=O)O)c1,inactive,5200.0
CHEMBL502014,O=C1Nc2ccc(S(=O)(=O)NCc3ccc(F)c(Cl)c3)cc2/C1=N/Nc1cccc(C(=O)O)c1,inactive,4800.0
CHEMBL526369,O=C1Nc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc2/C1=N/Nc1ccc(C(=O)O)cc1,inactive,6300.0
CHEMBL502013,O=C1Nc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc2/C1=N/Nc1cccc(C(=O)O)c1,active,1000.0
CHEMBL526177,O=C1Nc2ccc(S(=O)(=O)NCc3ccc(Cl)c(C(F)(F)F)c3)cc2/C1=N/Nc1ccccc1C(=O)O,inactive,22900.0
CHEMBL502006,O=C1Nc2ccc(S(=O)(=O)NCc3ccccc3Cl)cc2/C1=N/Nc1cccc(C(=O)O)c1,inactive,5500.0
CHEMBL525078,O=C1Nc2ccc(S(=O)(=O)NCc3ccccc3Cl)cc2/C1=N/Nc1ccc(C(=O)O)cc1,inactive,7400.0
CHEMBL499061,O=C1Nc2ccc(S(=O)(=O)NCc3ccc(Cl)cc3)cc2/C1=N/Nc1ccc(C(=O)O)cc1,inactive,5900.0
CHEMBL502815,O=C1Nc2ccc(S(=O)(=O)NCc3ccc(Cl)cc3)cc2/C1=N/Nc1cccc(C(=O)O)c1,inactive,1400.0
CHEMBL502540,O=C1Nc2ccc(S(=O)(=O)NCc3cccc(Cl)c3)cc2/C1=N/Nc1cccc(C(=O)O)c1,inactive,3800.0
