IC50 (micro),Ligand SMILES
0.097,O=C1C(O)=CC(C(O)=O)=CC2=CC=C(O)C(O)=C21
2.11,NC1=CC2=NSN=C2C=C1C#C
10,OC1=C(C(N2C3=CC=C(C=C3SC2=N1)OC)=O)CC4=CC=CC=C4
35,O=C(C=C)NC1=C2C=CC=CC2=NC=C1
9.8,O=C1N(C2=CCCN(C2)CC3=CC(C(/C=C/C4=CC=C(Cl)C=C4Cl)=O)=C(C=C3OCC)O)C5=CC=CC=C5N1
0.07,NC1=NC(N2CCC(C)(N)CC2)=CN=C1C3=CC=CC(Cl)=C3Cl
1.36,ClC1=C(Cl)C(C2=NC=C(N3CCC(CN)CC3)C=C2CO)=CC=C1
12,NC1=NC(N2C[C@@H](C)N[C@@H](C)C2)=NC=C1C3=CC=CC(Cl)=C3Cl
0.2,O=C(C1=CC2=C(N(C)C(C3=CC=CC(NC(C(NC4=CC=C(C5=CSC=C5)C=C4)=O)=O)=C3)=C2I)C=C1O)O
14,O=C(C1=CC2=C(N(C)C(C3=CC=CC(NC(CCC(NCC4=CC=C(OCO5)C5=C4)=O)=O)=C3)=C2I)C=C1O)O
5.5,O=C(CCN1C=C(N=N1)C(C2=C(C=C(C(C(O)=O)=C2)O)N3C)=C3C4=CC=CC=C4)NC(C=C5)=CC=C5C6=CC=CC=C6
0.023,NC(N=C1N(CC2)CCC2([C@@H]3N)CO[C@H]3C)=C(C(N1C)=O)SC4=CC=CN=C4C(F)(F)F
0.071,NC1=NC(N2CCC(C)(N)CC2)=CN=C1C3=CC=CC(Cl)=C3Cl
0.067,O=C1C2=C(NN=C2C3=CC=CC(Cl)=C3Cl)N=C(N4CCC(C)(N)CC4)N1C
0.067,ClC1=C(Cl)C(SC2=NNC3=C2N=CC(N4CCC5([C@H](N)COC5)CC4)=N3)=CC=C1
0.105,O=C1C(C2=CC=CC(Cl)=C2Cl)=C(N)N=C(N3CCC(C)(N)CC3)N1C
0.012,O=C1C(SC2=CC=CC(Cl)=C2Cl)=C(N)N=C(N3CCC(CN)(C)CC3)N1C
46.8,O=S(C1=CC2=C(NC(/C2=N\NC3=C([N+]([O-])=O)C=CC=C3)=O)C=C1)(O)=O
0.8,O=C(C1=CC2=C(NC(/C2=N\NC3=CC=CC=C3C(O)=O)=O)C=C1)O
0.071,O=C1N(C2=CC=C([N+]([O-])=O)C=C2)N=C(C3=CC=C([N+]([O-])=O)C=C3)/C1=N/NC4=CC=C(S(=O)(O)=O)C=C4
1.38,O=C1N(C2=CC=CC=C2)N=C(C3=CC=C([N+]([O-])=O)C=C3)/C1=N/NC4=CC=C(S(=O)(O)=O)C=C4
0.99,O=C(C1=C(COC2=CC=C(Cl)C=C2)N=C(C3=CC=C(OC)C=C3)S1)OCC
4.3,O=C(C1=C(COC2=CC=C(Cl)C=C2)N=C(C3=CC=C([N+]([O-])=O)C=C3)S1)OCC
11.38,O=C(NCC1=CC=CC2=C1C=CC=C2)CSC3=NN=C(N43)SC5=C4C(C)=CC=C5
8.3,O=C1CC(C(O)=O)=NN1C2=C(C)C=C(S(=O)([O-])=O)C(S(=O)([O-])=O)=C2
0.318,O=S(C1=C2C=CC=NC2=C(O)C(/N=N/C3=CC=C4C=C(S(=O)(O)=O)C=CC4=C3)=C1)(O)=O
0.71,NC1(C)CCN(C2=NC(C3=CC=C4C=C(Br)C=CC4=C3)=CS2)CC1
19.07,NC1(C)CCN(C2=NC(C3=CC=CC=C3)=CS2)CC1
3.27,CC1(C)NC(C)(C)CC(C2=NC(C3=CC=CC(C4=CC=CC=C4)=C3)=CS2)C1
1.48,NC1(C)CCN(C2=NC(C3=CC=C4C=CC=CC4=C3)=CS2)CC1
9.97,O=C1N(CCC(NC2=C([N+]([O-])=O)C=CC=C2)=O)C=NC3=C1C(CCCCC4)=C4S3
5.5,O=C(CCN1C=C(N=N1)C(C2=C(C=C(C(C(O)=O)=C2)O)N3C)=C3C4=CC=CC=C4)NC(C=C5)=CC=C5C6=CC=CC=C6
17.1,O=C(N(CCCl)CCCl)OC(C=C1)=CC2=C1[C@@]3([H])CC[C@]4(C)[C@@H](OP(O)(O)=O)CC[C@@]4([H])[C@]3([H])CC2
19.9,OC(C=C1)=CC2=C1[C@@]3([H])CC[C@]4(C)[C@@H](OP(O)(O)=O)CC[C@@]4([H])[C@]3([H])CC2
5.2,O=C(N[C@@H](CC(O)=O)C(O)=O)[C@H](CC1=CC=CC=C1)N
108.7,O=C(N[C@@H](CC1=CC=CC=C1)C(O)=O)[C@H](CC(O)=O)N
113.6,O=C(N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC(O)=O)C(O)=O)=O)[C@H](CC2=CC=CC=C2)N
97.9,O=C(N[C@@H](CC(O)=O)C(N[C@@H](CC1=CC=CC=C1)C(O)=O)=O)[C@H](CC2=CC=CC=C2)N
7.47,O=C(N1CCC(C(NC2=CC=C(NC(C3=CC=C(F)C=C3)=O)C=C2)=O)CC1)C4=CC=CC=C4
3.2,OC1=C(C(C(F)(F)F)(C(F)(F)F)O)C=C2C(C=C(OCC(N3C(C=CC=C4)=C4SC5=C3C=CC=C5)=O)C=C2)=C1
8.7,O=C1CC2C(C)(C)[C@@H](OC(C)=O)CC[C@]2(C)C3=C1C(O)=C(C[C@H](C)O4)C4=C3O
14.6,O=C(C1=C2C(O)=CC(OC)=C1)C3=CC(C)=C(O)C(O)=C3C2=O
12.5,CC(C[C@H](C(N[C@H](C(N(CC)CC)=O)CC1=CC=C2C=CC=CC2=C1)=O)NC([C@H](NC([C@H](N)COC([C@@H]3CCCN3C(C)=O)=O)=O)C(C)C)=O)C
2.47,[H][C@@]12[C@@](O[C@H](NCC3CCCCC3)C2)([H])[C@@H](N4C(C5=CC(CN6CCCC6)=CC=C5)=NN=N4)CO1
9.6,OC1CC[C@@]2(C)[C@](CC[C@]([C@@](CC[C@]3(C)[C@@]4([H])C[C@@](C)(C(O)=O)CC3)(C)C4=C5)(C)[C@]2([H])C5=O)([H])C1(C)C
3.3,OC1=C(C)C2=CC=C([C@](CC[C@]3(C)[C@@]4([H])C[C@](C)(C(O)=O)CC3)(C)[C@@]4(C)CC5)[C@]5(C)C2=CC1=O
0,OC1=C(C)C2=CC=C([C@](CC[C@](C3)(C)[C@@]4([H])C[C@@H](C)C3=O)(C)[C@@]4(C)CC5)[C@]5(C)C2=CC1=O
0,OC(/C(C)=C(C(O)=O)/[C@H](O)CC(O[C@H](C(C)C)[C@@H](OC)[C@H](O)CC([C@@H](C)[C@@H](O)CC[C@@H](C)[C@@H]1O[C@]2(CC[C@@H](C)[C@H](CC[C@H](C)C(C)=O)O2)CC[C@@H]1C)=O)=O)=O
2.9,OC(/C(C)=C(C(O)=O)/[C@H](O)CC(O[C@H](C)[C@@H](C)[C@H](O)CC([C@@H](C)[C@@H](O)CC[C@H](C)C[C@@H](C)CC(/C=C(CC)/C=C)=O)=O)=O)=O
18,O=C1C[C@](C2=CC=C(O)C=C2)([H])OC3=C1C(O)=CC(O)=C3C/C=C(CC/C=C(C)/C)\C
6.31,OC(C(C1=CC=C(O)C=C1)=CN2O)=C(C(/C(C)=C/C=C/C=C/C(C)=C/[C@H](C)C[C@H](C)CC)=O)C2=O
22.5,O=C(C([C@@H](C)CO1)=C1C2=C3C4=C(C(C)(C)CCC4)C=C2)C3=O
2.57,O=C(C(C(C)=CO1)=C1C2=C3C4=C(C(C)=CC=C4)C=C2)C3=O
3.94,O=C(C(C(C)CO1)=C1C2=C3C4=C(C(C)=CC=C4)C=C2)C3=O
2.59,O=C(C(C(C)=CO1)=C1C2=C3C4=C(C(C)(C)CCC4)C=C2)C3=O
17.2,CCCCC/C=C\C/C=C\CCCCCCC(O)=O
23.9,CCCCC/C=C\C/C=C\CCCCCCCCCCCCC(O)=O
26.6,OC1=CC(/C=C/C(O)=O)=CC=C1O
20.7,O[C@@H]([C@@H]([C@H]([C@H](CO)O1)O)O)C1OCC(O)COC(CCCCCCCCCCC)=O
1.7,[H][C@]1(O[C@@]2(OC[C@H](C)CC2)[C@H]3C)C[C@@]4([H])[C@]5([H])CC=C6C[C@@H](O[C@H]7[C@@H]([C@H]([C@@H]([C@@H](CO)O7)O[C@@]8([H])[C@@H]([C@@H]([C@H]([C@H](C)O8)O)O)O)O)O[C@@]9([H])[C@@H]([C@@H]([C@H]([C@H](C)O9)O)O)O)CC[C@]6(C)[C@@]5([H])CC[C@]4(C)[C@]13[H]
6.75,O=C1O[C@@]2(O)CC[C@@]3(C)[C@](CC[C@]3([H])[C@H](C)/C=C/[C@H](C)C(C)C)([H])C2=C1
