IC50 (microM),Ligand SMILES
0.07,ClC1=C(Cl)C(C2=NC=C(N3CCC(N)(C)CC3)N=C2N)=CC=C1
12,ClC1=C(Cl)C(C2=C(N)N=C(N3C[C@H](C)N[C@H](C)C3)N=C2)=CC=C1
60,ClC1=CC=CC=C1CN2C3=NN=C(C4=C(O)C(OC)=CC=C4)N3C5=CC=CC=C5C2=O
0.3,O=S(C1=CC=C2C(C=CC(/N=N/C3=CC(S(=O)(O)=O)=C(C=CC=N4)C4=C3O)=C2)=C1)(O)=O
1,O=C1CC2=CC=C(S(NCC3=CC=C(F)C=C3)(=O)=O)C=C2/C1=N/NC4=CC(C(O)=O)=CC=C4
22.5,CC1(C)C2=CC=C3C(C(C(C4=C3OC[C@@H]4C)=O)=O)=C2CCC1
5.5,CN1C(C2=CC=CC=C2)=C(C3=CN(CCC(NC4=CC=C(C5=CC=CC=C5)C=C4)=O)N=N3)C6=C1C=C(O)C(C(O)=O)=C6
0.2,CN1C(C2=CC=CC(NC(C(NC3=CC=C(C4=CSC=C4)C=C3)=O)=O)=C2)=C(I)C5=C1C=C(O)C(C(O)=O)=C5
2.5,[H][C@]1(OC2)[C@@](OC[C@@H]1N3C(C4=CC(CN5CCCC5)=CC=C4)=NN=N3)([H])[C@H]2NCC6CCCCC6
0.7,O=C1/C(C(C2=CC=C([N+]([O-])=O)C=C2)=NN1C3=CC=CC=C3)=N\NC4=CC=C(S(=O)(O)=O)C=C4
0.8,O=C1CC2=CC=C(C(O)=O)C=C2/C1=N/NC3=CC(C(O)=O)=CC=C3
0.000583,OCC1=NC(C2=C(Cl)C(Cl)=CC=C2)=C(C)N=C1N3CCC4([C@H](N)[C@H](C)OC4)CC3
47,O=S(C1=CC(C(C=C1)=N2)=C(NNC3=CC=CC=C3[N+]([O-])=O)C2=O)(O)=O
13.88,O=C(NC1=C(C=CC=C2)C2=CC=C1)CSC(N=N3)=NC4=C3C5=CC(C)=CC(C)=C5N4
0.00071,O=C(/C(C(C1=CC=C([N+]([O-])=O)C=C1)=N2)=N\NC3=CC=C(S(=O)(O)=O)C=C3)N2C4=CC=C([N+]([O-])=O)C=C4
6.31,OC1=CC=C(C2=CN(O)C(C(C(/C(C)=C/C=C/C=C/C(C)=C/[C@H](C)C[C@@H](CC)C)=O)=C2O)=O)C=C1
0.02,O=C1O[C@@]2(O)CC[C@@]3(C)[C@](CC[C@]3([H])[C@H](C)/C=C/[C@H](C)C(C)C)([H])C2=C1
8.3,OC(CCCC[C@@H]1CCSS1)=O
6.5,SCC[C@H](S)CCCCC(O)=O
4.53,BrC1=CC(C(OCC(OC(C2=CC(O)=C(O)C(Br)=C2)=O)COC(C3=CC(O)=C(O)C(Br)=C3)=O)=O)=CC(O)=C1O
15.86,O=C(C1=CC(Br)=C(O)C(O)=C1)OC2O[C@H](COC(C3=CC(Br)=C(O)C(O)=C3)=O)[C@@H](OC(C4=CC(O)=C(O)C(Br)=C4)=O)[C@H]2OC(C5=CC(Br)=C(O)C(O)=C5)=O
90.5,O=C(C(C)=C1)O[C@@]21C[C@H](C)[C@@]3([H])CC=C(C)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@]3([H])O2
48.2,O=C(C(C)=C1)O[C@@]21C[C@H](C)[C@@]3([H])CC=C(CO)C([C@]3([H])O2)=O
179,C[C@@H](C1)[C@@]2([H])CC=C(C)[C@@H](C)[C@]2([H])OC1=O
50.2,O=C(C(C)=C1)O[C@@]21C[C@H](C)[C@@]3([H])CC=C(C=O)[C@@H](O)[C@]3([H])O2
56,O=C(C(C)=C1)O[C@@]21C[C@H](C)[C@@]3([H])CC=C(CO)[C@@H](O)[C@]3([H])O2
44.9,O=C(C(C1)=C)O[C@@]21C[C@H](C)[C@@]3([H])CC=C(C)C([C@]3([H])O2)=O
3.3,O=C(C(C1)=C)O[C@@]21C[C@H](C)[C@@]3([H])CC=C(CO)[C@@H](O)[C@]3([H])O2
33.3,O=C(C(C1)=C)O[C@@]21C[C@H](C)[C@@]3([H])CC=C(CO)C([C@]3([H])O2)=O
38.3,O=C(C(C1)=C)O[C@@]21C[C@H](C)[C@@]3([H])CC=C(CN=[N+]=[N-])C([C@]3([H])O2)=O
0,O=C1C2=C(C=C(O)C=C2O)OC3=CC(O)=C(O)C=C31
0.93,O=C1C2=C(C=C(OCC3=CC=CC(Cl)=C3F)C=C2O)OC4=CC(O)=C(O)C=C41
8.79,C[C@H](O1)CC(C1=C2O)=C(O)C3=C2[C@]4(C)C(CC3=O)C(C)(C)[C@@H](OC(C)=O)CC4
7.47,O=C(C1=CC=C(F)C=C1)NC2=CC=C(NC(C3CCN(C(C4=CC=CC=C4)=O)CC3)=O)C=C2
35,C=CC(NC1=CC=NC2=CC=CC=C21)=O
9.8,O=C1N(C2=CCCN(CC3=C(OCC)C=C(O)C(C(/C=C/C4=CC=C(Cl)C=C4Cl)=O)=C3)C2)C5=CC=CC=C5N1
0.074,O=C1C=CC2=C(C3=CC=CC=C3C(O)=O)C4=CC=C(O)C([As]5SCCS5)=C4OC2=C1[As]6SCCS6
0.517,O=C1C=C/C(C=C1C(O)=O)=C(C2=CC(C(O)=O)=C(O)C=C2)/C3=CC(C(O)=O)=C(O)C=C3
0.00291,NCCCCCN(O)C(CCC(NCCCCCN(O)C(CCC(NCCCCCN(C(C)=O)O)=O)=O)=O)=O
108.7,OC(C[C@@](N)([H])C(N[C@](CC1=CC=CC=C1)([H])C(O)=O)=O)=O
5.2,O=C(N[C@@](CC(O)=O)([H])C(O)=O)[C@]([H])(N)CC1=CC=CC=C1
113.6,O=C(N[C@@](C(N[C@@](C(O)=O)([H])CC(O)=O)=O)([H])CC1=CC=CC=C1)[C@@]([H])(N)CC2=CC=CC=C2
97.9,O=C(N[C@@](C(N[C@](CC1=CC=CC=C1)([H])C(O)=O)=O)([H])CC(O)=O)[C@@]([H])(N)CC2=CC=CC=C2
10,O=C1N2C3=CC=C(OC)C=C3SC2=NC(O)=C1CC4=CC=CC=C4
85,O=C1N2C3=CC=C(Cl)C=C3SC2=NC(O)=C1CC4=CC=CC=C4
0,O=C1N2C3=CC=C(OC)C=C3SC2=NC(Cl)=C1CC4=CC=CC=C4
0.07,ClC1=C(Cl)C(C2=NC=C(N3CCC(N)(C)CC3)N=C2N)=CC=C1
60,ClC1=CC=CC=C1CN2C3=NN=C(C4=C(O)C(OC)=CC=C4)N3C5=CC=CC=C5C2=O
12,O=C(N(C)C(N1CCC2(CO[C@@H](C)[C@H]2N)CC1)=N3)C4=C3NN=C4C5=C(Cl)C(NC6CC6)=NC=C5
0.034,ClC1=CC=CC(C2=NNC3=C2C(N(C)C(N4CCC(C)(CN)CC4)=N3)=O)=C1Cl
0.031,ClC1=CC=CC(C2=NNC3=C2C(N(C)C(N4CCC5(CCC[C@H]5N)CC4)=N3)=O)=C1Cl
0.05,ClC1=CC=CC(C2=NNC3=C2C(N(C)C(N4CCC5(COC[C@H]5N)CC4)=N3)=O)=C1Cl
0.028,ClC1=CC=CC(C2=NNC3=C2C(N(C)C(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)=N3)=O)=C1Cl
0.006,ClC1=CC=CC(C2=NNC3=C2N=CC(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)=N3)=C1Cl
0.039,ClC1=CC=CC(C2=CNC3=C2N=CC(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)=N3)=C1Cl
0.028,ClC1=NC=CC(C2=NNC3=C2C(N(C)C(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)=N3)=O)=C1Cl
0.008,O=C(N(C)C(N1CCC2(CO[C@@H](C)[C@H]2N)CC1)=N3)C4=C3NN=C4C5=CC=NC=C5
0.032,NC1=NC=CC(C2=NNC3=C2C(N(C)C(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)=N3)=O)=C1Cl
0.055,ClC1=C(C2=NNC3=C2C(N(C)C(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)=N3)=O)C=CN=C1NC
0.036,ClC1=C(C2=NNC3=C2N=CC(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)=N3)C=CN=C1NC6CC6
0.35,ClC1=C(C2=CNC3=C2N=CC(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)=N3)C=CN=C1NC6CCC6
0.037,CC1=C(C2=NNC3=C2C(N(C)C(N4CCC5(CO[C@@H](C)[C@H]5N)CC4)=N3)=O)C=CC(N)=N1
0.027,O=C(N(C)C(N1CCC2(CO[C@@H](C)[C@H]2N)CC1)=N3)C4=C3NN=C4SC5=CC=NC(N)=C5Cl
47,ClC1=C(Cl)C=CC=C1SC2=NC(NC(N)=N3)=C3C=C2
0.012,ClC1=C(SC2=C(N)N=C(N3CCC(C)(CN)CC3)N(C)C2=O)C=CC=C1Cl
0.005,ClC1=C(SC2=C(N)N=C(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)N(C)C2=O)C=CC=C1Cl
0.048,ClC1=C(SC2=C(N)N=C(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)N(C)C2=O)C=CN=C1C
0.014,ClC1=C(SC2=C(N)N=C(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)N(C)C2=O)C=CN=C1C5CC5
0.023,O=C1C(SC2=C(C(F)(F)F)N=CC=C2)=C(N)N=C(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)N1C
0.181,O=C1C(SC2=C(C(F)(F)F)N=CC=C2)=CN=C(N3CCC(C)(CN)CC3)N1
0.026,O=C1C(SC2=C(C(F)(F)F)N=CC=C2)=CN=C(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)N1C
0.031,O=C1C(SC2=C(C(F)(F)F)N=CC=C2)=CN=C(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)N1
0.177,O=C1C(SC2=C(C(F)(F)F)N=CC=C2)=CC=C(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)N1C
0.429,O=C1C(SC2=C(C(F)(F)F)N=CC=C2)=C(N)C=C(N3CCC4(CO[C@@H](C)[C@H]4N)CC3)N1C
0.022,O=C1C(SC2=C(C(F)(F)F)N=CC=C2)=C(N)C=C(N3CCC4(C[C@@H](C)C[C@H]4N)CC3)N1C
0.018,O=C1C(SC2=C(C(F)(F)F)N=CC=C2)=C(N)C=C(N3CCC4(C[C@@H](C)[C@H](F)[C@H]4N)CC3)N1C
0.0021,ClC1=C(SC2=NNC3=C2N=CC(N4CCC5(C[C@H](N)OC5)CC4)=N3)C=CC=C1Cl
1.38,O=c(C1#NNC2=CC=C(S(=O)(O)=O)C=C2)n(C3=CC=CC=C3)N=C1C4=CC=C([N+]([O-])=O)C=C4
16.8,O=C([O-])C1=C(C[N+]2=CC=C(C(N)=O)C=C2)CS[C@]([C@@H]3NC([C@H](S(=O)([O-])=O)C4=CC=CC=C4)=O)([H])N1C3=O
1.38,O=C(O)[C@H]([C@@]1([H])NC(C(O)=O)=C(C)CS1)NC([C@H](S(=O)(O)=O)C2=CC=CC=C2)=O
2.11,NC1=CC2=NSN=C2C=C1C#C
0,NC(CC1)(C)CCN1C2=NC(C3=CC4=C(C=CC=C4)S3)=CS2
46.5,NC(CC1)(C)CCN1C2=NC(C3=C(OC4=C5C=CC=C4)C5=CC=C3)=CS2
0.71,BrC1=CC2=C(C=C1)C=C(C3=CSC(N4CCC(N)(C)CC4)=N3)C=C2
8.658,OC1=CC(C(OC)=O)=CC2=CC(OC)=C(O)C(O)=C2C1=O
0,O=C(C1CCN(C(C2=CC=CO2)=O)CC1)NC3=CC=C(C4=CC=C(NC(C5CCN(C(C6=CC=CO6)=O)CC5)#[OH])C=C4)C=C3
2.63,O=C(NC1=CC=C(F)C=C1)C2=CC=C(C3=CC=C(C(NC4=CC=C(F)C=C4)=O)S3)C=C2
1.36,Clc1=C(Cl)C=CC=C1C2=CN=C(N3CCC(CN)CC3)C(CO)=C2
8.29,NC1=C(NC2CCNCC2)N=CC(C3=CC=CN=C3)=C1
7.12,NC1=C(N2CCC(N)CC2)N=CC(C3=CC=CC(Cl)=C3Cl)=C1
1.64,NC1=C(N2CCC(CN)CC2)N=CC(C3=CC=CC(Cl)=C3Cl)=C1
1.58,NC1=C(N2CCC(C)(N)CC2)N=CC(C3=CC=CC(Cl)=C3Cl)=C1
9.47,NC1=C(NC2=CC(N)=CC=C2)N=CC(C3=CC=CN=C3)=C1
1.36,NCC(CC1)CCN1C2=C(CO)C=C(C3=CC=CC(Cl)=C3Cl)C=N2
9.97,O=C(CCN1C(C(C(CCCCC2)=C2S3)=C3N=C1)=O)NC4=C([N+]([O-])=O)C=CC=C4
